,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
113,T. Ross,Toronto,45,41,49,115,96,221,259,54,125,14,33,67
114,C. Joseph,Toronto,249,90,116,233,43,490,119,74,168,46,97,76
115,P. Patterson,Toronto,71,43,60,54,85,121,232,59,220,61,37,50
116,J. Poeltl,Toronto,10,26,48,50,0,95,0,46,73,70,28,12
117,N. Powell,Toronto,75,120,153,160,53,317,165,72,136,25,67,64
118,K. Caldwell-Pope,Detroit,187,137,165,211,149,477,415,72,181,54,81,113
119,I. Smith,Detroit,382,62,90,266,27,577,96,76,201,16,102,96
120,M. Morris,Detroit,158,145,185,293,115,628,350,76,285,78,86,116
121,T. Harris,Detroit,132,172,204,384,99,708,290,77,337,57,91,114
122,A. Drummond,Detroit,83,132,338,461,2,860,7,76,739,323,149,86
123,A. Baynes,Detroit,32,77,92,138,0,274,0,72,218,108,47,27
124,J. Leuer,Detroit,108,91,103,257,48,465,163,71,295,98,65,55
125,S. Johnson,Detroit,92,34,51,81,38,192,137,72,142,35,65,59
126,B. Udrih,Detroit,114,26,28,72,10,145,31,33,46,5,33,16
127,B. Marjanović,Detroit,7,36,45,46,0,88,0,28,58,31,7,10
128,H. Ellenson,Detroit,4,1,1,4,4,9,14,15,10,2,6,1
129,M. Gbinije,Detroit,2,2,2,1,0,6,4,8,1,2,0,2
130,I. Thomas,Boston,415,522,575,407,227,778,593,70,148,37,190,165
131,J. Crowder,Boston,141,164,196,158,143,296,365,66,339,44,72,57
132,A. Horford,Boston,317,98,123,267,81,512,225,62,335,90,109,74
133,A. Bradley,Boston,111,57,77,234,101,464,251,50,252,58,86,63
134,A. Johnson,Boston,132,63,95,174,24,285,61,75,232,111,72,34
135,J. Brown,Boston,57,79,116,134,40,265,119,72,167,41,60,41
136,T. Rozier,Boston,122,47,57,89,55,225,171,70,179,39,46,54
