,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
95,C. Butler,LA Clippers,67,75,93,155,69,362,199,49,145,41,58,67
96,C. Billups,LA Clippers,80,75,82,35,48,103,125,20,46,4,38,31
97,C. Paul,LA Clippers,414,170,194,270,64,513,168,47,131,30,95,77
98,B. Griffin,LA Clippers,160,208,384,439,2,808,11,52,399,163,123,81
99,D. Jordan,LA Clippers,14,65,122,166,0,259,1,52,276,161,57,46
100,M. Williams,LA Clippers,137,54,62,149,79,327,205,44,67,22,73,75
101,R. Foye,LA Clippers,117,52,61,97,84,233,232,51,81,15,57,51
102,R. Gomes,LA Clippers,12,8,11,27,4,66,29,32,47,14,15,8
103,B. Cook,LA Clippers,2,4,4,6,5,22,27,15,19,4,4,7
104,A. Jamison,Cleveland,93,134,200,268,68,620,205,50,234,93,62,109
105,A. Varejão,Cleveland,43,43,64,114,0,218,4,25,178,109,45,29
106,K. Irving,Cleveland,255,144,163,250,65,514,155,45,135,44,147,77
107,O. Casspi,Cleveland,50,51,82,87,40,176,132,50,124,53,51,43
108,A. Parker,Cleveland,90,21,37,56,32,128,97,37,85,5,35,21
109,R. Sessions,Cleveland,212,112,136,115,26,292,62,41,108,19,82,49
110,T. Thompson,Cleveland,16,76,144,132,0,304,0,44,139,132,57,56
111,A. Gee,Cleveland,84,132,172,146,38,310,115,50,171,74,93,54
112,R. Hollins,Cleveland,6,33,55,28,0,56,0,23,31,25,24,2
113,D. Gibson,Cleveland,76,32,41,32,55,109,139,35,90,11,45,41
114,R. Butler,Toronto,19,7,12,20,21,56,77,30,60,6,15,16
115,D. DeRozan,Toronto,95,210,264,283,20,644,78,50,140,32,101,87
116,A. Bargnani,Toronto,52,124,142,147,28,313,94,26,122,22,64,52
117,J. Calderón,Toronto,412,38,45,143,50,296,137,47,133,18,97,41
118,A. Johnson,Toronto,66,52,73,161,1,274,4,51,213,129,78,35
119,J. Johnson,Toronto,97,66,93,169,14,358,42,50,171,66,81,43
120,E. Davis,Toronto,43,58,84,121,0,241,1,52,221,99,45,25
121,L. Barbosa,Toronto,63,70,83,158,40,343,111,42,58,21,68,56
122,J. Bayless,Toronto,118,74,87,73,44,172,104,30,58,8,53,37
123,J. Magloire,Toronto,6,7,27,17,0,42,0,29,81,21,22,9
124,R. Lewis,Washington,27,31,37,69,16,154,67,28,75,34,32,33
125,J. Wall,Washington,394,252,317,299,3,675,30,51,204,39,201,91
126,J. Crawford,Washington,148,105,135,210,62,456,218,51,94,33,109,92
127,A. Blatche,Washington,28,33,49,91,2,238,7,26,108,42,37,33
128,J. McGee,Washington,25,58,116,214,0,400,0,41,235,127,68,42
